age,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,region_default_rate,join_year,join_month,join_day,join_weekday,tenure_days,education_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,employment_type_Self-Employed,employment_type_Unemployed,income_bin_encoded,good_credit_flag,repayment_qbin_encoded,txn_cluster,annual_income_std,annual_income_minmax,annual_income_maxabs,annual_income_robust,age_scaled,annual_income_scaled,loan_amount_scaled,credit_score_scaled,repayment_history_scaled,transaction_count_scaled,spending_ratio_scaled,tenure_days_scaled,debt_to_income,spending_to_income_ratio,avg_monthly_transactions,loan_per_age,spending_log,spending_sqrt,spending_recip,loan_amount_boxcox,annual_income_yj
59.0,359961.75,614438.3,683.7,0,25,26.58,0,0.26,2019,8,18,6,2550,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-0.5534719460888078,0.047049391226063525,0.0774921473222582,-0.5446363274125645,1.1942305785062288,-0.5534719460888078,-0.2972525683710377,-0.025307549844145374,-0.7751793624234595,-0.8160284672335176,-0.3648387696509788,0.9394461526596014,1.7069544194626236,0.2658,4.166666666666667,10414.208474576271,3.3170908723651555,5.155579501860096,0.03625815808556926,-0.6955408337197069,-0.7621876402158447
49.0,492657.61,836216.56,450.9,0,33,35.76,0,0.18,2021,3,28,6,1962,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.35512217539858026,0.07655869985017545,0.10605875789178051,-0.22040373592593918,0.40606361803485297,-0.35512217539858026,-0.2461666057929549,-2.9559840609056214,-0.7751793624234595,-0.3505244927705869,0.15204486977898699,0.12931985472270865,1.6973584555001597,0.3576,5.5,17065.644081632654,3.6044102974874863,5.979966555090421,0.02720348204570185,-0.2736604654569572,-0.21564797974602581
35.0,999398.23,2341495.61,741.2,0,27,26.1,0,0.18,2022,2,26,5,1627,1,1,0,0,1,0,1,0,0,1,0,2,1,0,1,0.4023384249277882,0.18924921896624902,0.2151492898141652,1.01777976455508,-0.6973701266250734,0.4023384249277882,0.10056994637348382,0.6985494062814338,-0.7751793624234595,-0.6996524736177849,-0.39186536517672843,-0.33223169257126933,2.342905500242881,0.261,4.5,66899.87457142856,3.299533727885655,5.10881590977792,0.03690036900369004,0.9378637515121725,0.8940262692405374
63.0,580881.54,436869.88,666.4,0,35,46.63,0,0.18,2021,9,14,1,1792,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,-0.22324770482436115,0.09617820552580125,0.12505150304014306,-0.0048350403009615565,1.5094973626947792,-0.22324770482436115,-0.33815492579402984,-0.24309407751323353,-0.7751793624234595,-0.23414849915485422,0.7640846476225306,-0.10490033345632496,0.7520808459501054,0.46630000000000005,5.833333333333333,6934.44253968254,3.863462814812769,6.828616258071616,0.02099517111064455,-1.1985861045819735,0.05741309081257363
28.0,248865.64,1104961.06,588.9,0,35,56.25,1,0.15,2019,9,6,4,2531,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.7195350617208727,0.022343500650967317,0.053575505837295416,-0.816091515610472,-1.2490869989550364,-0.7195350617208727,-0.18426210951786656,-1.2187273662042315,-0.7751793624234595,-0.23414849915485422,1.3057426662844336,0.9132686022160623,4.439990430177504,0.5625,5.833333333333333,39462.895000000004,4.047427642434349,7.5,0.017467248908296942,0.08297791086810646,-1.451876726822045
41.0,697836.04,957075.11,681.6,5,49,19.61,0,0.15,2023,2,16,3,1272,2,1,0,1,0,0,1,0,0,0,0,1,0,2,0,-0.04842764445329744,0.12218690267338897,0.15022933191779755,0.28093469374366137,-0.2244699503422478,-0.04842764445329744,-0.2183271982579632,-0.05174406476351464,2.6916335285580226,0.5804834561552745,-0.7572874588478046,-0.8213385561216042,1.3714899419640176,0.1961,8.166666666666666,23343.295365853657,3.0257763949023677,4.428317965096905,0.048520135856380396,-0.09805244426992692,0.3507700312494264
59.0,324182.21,1608235.22,737.7,2,51,19.49,0,0.21,2022,5,23,0,1541,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,-0.6069541237121475,0.03909262838290657,0.06978956952113731,-0.6320610064974987,1.1942305785062288,-0.6069541237121475,-0.06833440359991028,0.6544885480824855,0.6115457939691334,0.6968594497710072,-0.7640441077292421,-0.450719552473604,4.960899057354196,0.1949,8.5,27258.22406779661,3.0199369622508083,4.414748010928823,0.04880429477794046,0.5286406011437147,-0.9525215063845739
39.0,165073.22,1791578.0,665.5,2,46,15.95,1,0.21,2022,5,3,1,1561,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.8447854447590417,0.0037094876369877655,0.03553677101302996,-1.0208321419083515,-0.38210334243652294,-0.8447854447590417,-0.026101939525020032,-0.2544240124786771,0.6115457939691334,0.40591946573167553,-0.9633652497316472,-0.42316423621724714,10.853232280802422,0.1595,7.666666666666667,45937.89743589744,2.830267833826459,3.9937451095431715,0.058997050147492625,0.6498818515931146,-2.2831999085758863
43.0,1230343.51,1184329.44,603.6,1,52,37.23,0,0.15,2022,5,12,3,1552,1,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0.74754846637136,0.24060753220075343,0.26486692137124085,1.5820776004182657,-0.06683655824797259,0.74754846637136,-0.16597983924230822,-1.0336717617686482,-0.08181678422716306,0.7550474465788736,0.2348138185765958,-0.43556412853260773,0.9626006317536473,0.37229999999999996,8.666666666666666,27542.545116279067,3.6436205477083212,6.10163912403872,0.026157467957101756,0.168261122129719,1.1905873099540194
31.0,694867.48,765081.58,703.4,3,44,60.62,0,0.15,2021,3,1,0,1989,1,0,0,1,0,0,1,0,0,1,0,1,1,2,0,-0.05286495843792509,0.12152674527880863,0.14959026376998752,0.2736812353329502,-1.0126369108136237,-0.05286495843792509,-0.2625523368662922,0.22269213773279134,1.30490837216543,0.28954347211594283,1.5517972963834477,0.16651953166879047,1.1010467492305152,0.6062,7.333333333333333,24680.050967741936,4.120986493168521,7.785884663928692,0.01622849724115547,-0.3923202032445966,0.34407759288222156
31.0,576110.12,1371424.79,699.2,0,57,30.84,0,0.15,2019,4,10,2,2680,3,1,0,1,0,0,0,1,0,0,0,1,0,0,2,-0.2303798795799773,0.09511712264533112,0.1240243172861668,-0.01649365475714073,-1.0126369108136237,-0.2303798795799773,-0.12288298182881194,0.16981910789405422,-0.7751793624234595,1.0459874306182053,-0.12497773435994883,1.1185557083259212,2.380490712435324,0.3084,9.5,44239.50935483871,3.460723360976182,5.5533773507659285,0.031407035175879394,0.3441809164933549,0.04396041385166613
44.0,446821.63,2507907.07,759.3,2,28,64.17,0,0.15,2022,1,19,2,1665,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,-0.42363641632788923,0.06636555531719136,0.09619124137142777,-0.33240058781513243,0.011980137799164995,-0.42363641632788923,0.13890233124350723,0.9264069872531367,0.6115457939691334,-0.6414644768099186,1.751681492459306,-0.27987659168419127,5.612770066659485,0.6417,4.666666666666667,56997.88795454545,4.176999240344289,8.010617953691213,0.015344483658124904,1.0089194545140425,-0.38195119085044615
56.0,1165188.84,965978.68,656.7,6,67,21.66,0,0.18,2021,7,14,2,1854,2,2,0,0,1,0,1,0,0,0,0,2,0,2,2,0.6501572300969394,0.22611823867394581,0.25084049971290323,1.4228769478767633,0.957780490364816,0.6501572300969394,-0.21627628738946175,-0.3652055988074608,3.3849961067543193,1.6278673986968688,-0.6418613737899146,-0.01947885306161858,0.8290318674868187,0.21660000000000001,11.166666666666666,17249.619285714285,3.12060125559986,4.654030511288038,0.0441306266548985,-0.08620487483693026,1.1141945731266636
45.0,2951828.4,816613.12,779.6,0,35,31.79,0,0.15,2024,9,8,6,702,2,1,0,1,0,1,0,0,0,1,0,3,1,0,0,3.320772176426757,0.6234365738208564,0.635466188401478,5.788399539096444,0.09079683384630259,3.320772176426757,-0.25068219989240226,1.1819599648070376,-0.7751793624234595,-0.23414849915485422,-0.0714875973819023,-1.6066650694277758,0.2766465421905962,0.3179,5.833333333333333,18146.958222222223,3.4901235908565567,5.638262143604179,0.030497102775236352,-0.3050855056979785,2.3085896759077253
