customer_id,age,gender,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00001,59.0,Male,359961.75,614438.3,,683.7,0,25,26.58,2019-08-18,0
CUST00002,49.0,Female,492657.61,836216.56,Business,450.9,0,33,35.76,2021-03-28,0
CUST00003,35.0,Male,999398.23,2341495.61,Education,741.2,0,27,26.1,2022-02-26,0
CUST00004,63.0,Female,580881.54,436869.88,Home,666.4,0,35,46.63,2021-09-14,0
CUST00005,28.0,Male,248865.64,1104961.06,Business,588.9,0,35,56.25,2019-09-06,1
CUST00006,41.0,Male,697836.04,957075.11,Education,,5,49,19.61,2023-02-16,0
CUST00007,59.0,Male,324182.21,1608235.22,Education,737.7,2,51,19.49,2022-05-23,0
CUST00008,39.0,Female,165073.22,1791578.0,Business,665.5,2,46,15.95,2022-05-03,1
CUST00009,43.0,Male,1230343.51,1184329.44,Car,603.6,1,52,37.23,2022-05-12,0
CUST00010,31.0,Female,694867.48,765081.58,Education,703.4,3,44,60.62,2021-03-01,0
CUST00011,31.0,Male,,1371424.79,,699.2,0,57,30.84,2019-04-10,0
CUST00012,44.0,Male,446821.63,2507907.07,Car,759.3,2,28,64.17,2022-01-19,0
CUST00013,56.0,Other,1165188.84,965978.68,Education,656.7,6,67,21.66,2021-07-14,0
CUST00014,,Male,2951828.4,816613.12,Car,779.6,0,35,31.79,2024-09-08,0
CUST00015,44.0,Male,691645.82,1292022.24,Education,649.5,1,49,5.18,2024-04-12,0
CUST00016,23.0,Female,306723.18,1011665.88,Business,589.1,3,28,31.21,2019-07-22,1
CUST00017,42.0,Female,496353.65,386004.15,Home,605.1,4,19,54.01,2018-02-07,1
CUST00018,22.0,Female,4990055.0,1164184.69,Education,685.3,2,37,20.09,2018-09-02,0
CUST00019,44.0,Male,148413.78,383565.74,Home,685.1,0,40,38.43,2018-01-21,1
CUST00020,64.0,Male,649510.68,1279700.28,Education,714.6,0,27,5.0,2021-02-07,0
CUST00021,50.0,Female,686961.7,563543.66,Car,683.2,0,22,50.23,2022-06-18,0
CUST00022,58.0,Female,1120727.08,1010355.05,Business,763.3,2,20,55.56,2019-01-29,0
CUST00023,22.0,Female,1058293.03,1294216.09,Home,670.4,0,50,6.71,2021-12-04,0
CUST00024,41.0,Male,574436.41,5486122.84,Education,318.0,3,39,30.02,2020-09-13,1
CUST00025,,Female,1243014.83,1656015.5,Home,680.9,0,35,53.75,2022-07-30,0
CUST00026,32.0,Female,1655515.63,2559593.89,Business,539.5,0,16,22.07,2023-08-18,0
CUST00027,42.0,Male,,3649947.98,Other,710.4,0,22,14.06,2024-07-03,0
CUST00028,64.0,Male,680105.28,1386757.91,Other,,2,42,36.35,2023-03-26,0
CUST00029,45.0,Male,204431.14,1202583.67,Business,616.0,0,56,45.87,2018-10-17,0
CUST00030,47.0,Male,243279.12,466631.54,Business,796.4,0,31,45.45,2022-11-22,0
CUST00031,62.0,Male,340779.88,907418.51,Home,753.2,1,43,22.66,2020-06-30,0
CUST00032,48.0,Male,423373.45,593527.36,Car,780.5,0,75,65.9,2018-12-27,0
CUST00033,36.0,Male,295709.35,743600.2,,704.2,0,30,5.63,2022-06-11,0
CUST00034,35.0,Male,529772.28,3647178.32,Business,615.5,3,34,38.6,2018-08-07,1
CUST00035,64.0,Female,430395.55,1066865.06,Other,,1,27,59.79,2024-09-19,0
CUST00036,23.0,Female,973830.34,533316.48,Home,643.2,0,38,32.32,2023-07-09,0
CUST00037,57.0,Male,416180.56,2577095.17,Other,698.8,2,44,22.36,2023-08-03,0
CUST00038,27.0,Female,153630.42,1921646.32,Education,677.1,6,28,29.52,2023-08-07,1
CUST00039,,Female,579061.02,1993410.29,Education,774.4,1,20,24.07,2020-04-11,0
CUST00040,29.0,Male,536161.71,241761.95,Home,744.8,1,11,36.37,2022-11-29,0
CUST00041,59.0,Male,336338.23,3851871.42,Home,684.0,3,25,29.99,2022-11-27,0
CUST00042,38.0,Male,569349.6,665996.49,Education,543.6,5,52,6.67,2021-05-28,1
CUST00043,24.0,Male,299121.31,1697332.3,Education,642.4,2,54,29.01,2019-08-18,1
CUST00044,45.0,Female,647848.39,5761220.22,Home,742.8,0,92,43.13,2023-11-25,0
CUST00045,34.0,Male,2299284.26,4451416.53,Education,711.0,1,37,11.17,2019-08-04,0
CUST00046,29.0,,200168.94,496682.62,Business,577.3,2,13,23.38,2022-10-14,1
CUST00047,46.0,Female,406795.89,358196.81,Business,554.5,0,30,39.57,2023-08-18,1
CUST00048,22.0,Female,372473.88,2679772.92,Other,,0,23,37.66,2024-02-15,0
CUST00049,40.0,Male,425792.35,1087551.14,Car,610.7,3,44,24.37,2018-03-22,1
CUST00050,48.0,Female,946909.23,693414.34,Car,617.9,1,35,34.0,2023-11-26,0
CUST00051,27.0,Other,728362.84,1520961.08,Business,740.4,0,26,22.8,2021-09-06,0
CUST00052,64.0,Other,861837.12,878511.52,Car,780.2,1,42,29.47,2022-05-22,0
CUST00053,28.0,Male,549504.66,25048648.0,Home,,0,33,29.85,2018-12-12,0
CUST00054,55.0,Female,261148.73,1031874.15,Home,686.6,0,94,68.45,2023-03-02,0
CUST00055,34.0,Male,292705.73,1632579.03,Car,684.4,2,51,23.5,2024-07-03,0
CUST00056,37.0,Female,814592.15,526405.51,Home,337.0,0,72,17.11,2019-07-09,0
CUST00057,56.0,Other,,47752144.0,Car,693.0,0,56,36.63,2018-10-29,0
CUST00058,60.0,Female,1080694.1,1604521.85,Home,746.7,5,39,40.31,2018-07-19,0
CUST00059,,Female,634945.32,1547897.57,Home,639.5,0,37,29.55,2020-11-28,0
CUST00060,22.0,Female,281909.61,450282.77,Education,575.6,0,15,41.56,2018-11-03,0
CUST00061,26.0,Female,405531.57,3235657.44,Education,816.8,5,40,24.64,2022-07-15,0
CUST00062,62.0,Male,737224.53,975200.85,Education,771.7,2,28,39.98,2023-02-15,0
CUST00063,24.0,Male,798653.83,1639061.21,Home,607.2,1,57,34.29,2024-11-20,1
CUST00064,49.0,,864848.61,785458.48,Home,700.2,3,36,26.34,2024-02-05,0
CUST00065,38.0,Female,303553.07,1181886.38,Education,765.8,0,38,57.9,2023-01-21,0
CUST00066,46.0,Male,279130.14,1212250.55,Education,746.2,2,40,65.94,2022-10-31,0
CUST00067,64.0,Male,486799.99,136768.96,Car,724.7,1,70,26.66,2018-10-03,0
CUST00068,54.0,Male,1193070.07,1480238.36,Car,677.2,3,20,7.82,2021-03-21,0
CUST00069,30.0,Female,368933.77,3897083.55,Other,819.5,1,35,10.99,2021-11-02,0
CUST00070,56.0,Female,694005.07,1436681.04,Car,706.6,1,47,38.66,2019-09-30,0
CUST00071,34.0,,694039.13,503633.56,Car,651.4,0,39,44.25,2022-11-11,0
CUST00072,,Male,821120.39,1551872.92,Education,,0,77,17.03,2020-07-18,0
CUST00073,35.0,Female,1349766.46,2067056.91,Car,697.2,2,44,55.25,2023-02-24,0
CUST00074,28.0,Female,1275754.76,1409473.18,Car,716.2,1,33,28.62,2018-07-02,1
CUST00075,34.0,Male,389635.43,934821.64,Car,,1,33,60.69,2023-01-19,0
CUST00076,43.0,Female,170443.22,831091.8,Business,,0,28,35.19,2018-03-13,0
CUST00077,60.0,Male,372059.43,828674.88,Home,616.6,1,57,58.12,2022-08-04,1
CUST00078,41.0,Male,563329.37,1604694.3,Home,581.2,2,52,13.67,2021-07-19,1
CUST00079,36.0,Female,442898.14,367696.52,Car,797.6,3,23,38.3,2024-05-05,1
CUST00080,65.0,Male,1594936.4,758948.19,Business,708.7,1,35,41.59,2020-11-09,0
CUST00081,38.0,Male,545975.38,3008423.89,Home,747.8,4,42,62.36,2020-03-25,1
CUST00082,44.0,Male,774165.95,3090788.17,Other,558.0,3,24,36.69,2022-03-07,1
CUST00083,46.0,Male,608935.65,349863.04,Car,770.0,1,23,17.87,2024-01-04,0
CUST00084,45.0,Male,446570.14,445971.56,Other,650.9,1,29,15.24,2018-11-06,0
CUST00085,65.0,Female,187466.15,814692.15,Other,629.5,4,30,45.15,2023-08-24,1
CUST00086,61.0,Female,517497.67,1839147.42,Car,685.2,1,27,19.35,2018-05-12,0
CUST00087,49.0,Female,3236671.39,273968.37,Home,616.7,3,45,39.71,2023-02-21,1
CUST00088,35.0,Female,272541.96,947549.02,Home,689.9,1,59,40.45,2024-10-22,1
CUST00089,65.0,Female,199151.24,706497.25,Home,679.8,1,27,52.61,2020-01-10,1
CUST00090,21.0,Female,1567533.8,2490951.37,Education,769.5,0,40,36.35,2020-03-05,0
CUST00091,45.0,Male,812723.01,304420.14,Home,803.5,0,26,10.27,2024-04-29,0
CUST00092,27.0,Male,599038.37,1050501.71,Car,801.1,5,19,35.66,2018-09-15,0
CUST00093,29.0,Male,1143347.16,747487.9,Car,520.2,1,21,22.13,2021-06-11,1
CUST00094,44.0,Male,342036.91,2754810.59,Other,619.9,1,36,50.21,2024-09-22,0
CUST00095,21.0,Male,509595.67,1496076.92,Home,519.4,4,24,69.58,2023-01-26,1
CUST00096,64.0,Male,913770.54,653389.72,Home,,1,17,24.37,2020-09-01,0
CUST00097,28.0,Female,4584770.0,1789363.47,Home,641.3,1,41,50.91,2020-11-13,1
CUST00098,,Other,284162.24,749993.49,Other,720.8,2,4,11.63,2018-09-28,0
CUST00099,31.0,,1092964.13,1981829.17,Education,651.0,2,28,49.97,2021-01-23,0
CUST00100,37.0,Male,666644.02,834047.89,Home,653.1,0,20,47.93,2018-05-22,0
CUST00101,,Male,591066.37,2060103.14,Home,703.6,0,32,62.76,2020-06-20,0
CUST00102,55.0,Female,538072.68,1336089.16,Home,304.0,0,40,33.69,2018-10-01,0
CUST00103,55.0,Female,252317.72,9648796.56,Home,627.1,0,23,14.85,2024-05-12,0
CUST00104,53.0,Male,917767.11,948818.49,Other,652.2,1,52,11.87,2019-04-10,0
CUST00105,25.0,Female,351425.16,1287230.54,Business,674.8,0,24,18.46,2021-05-16,0
